Intention 问题模糊、歧义或者背景信息不足 error records:
('城市的利润是多少？', '1', '3')
('南京的利润为何比其他城市少？', '1', '2')
('为什么杭州的利润下降如此快？', '1', '2')
('武汉的利润增长了多少？', '1', '2')
('北京的利润为何减少？', '1', '2')
('上海的利润为何在2022年11月13日最高？', '1', '2')
('深圳的利润为何增加？', '1', '2')
('广州的利润为何比成都低？', '1', '2')
('为什么天津的利润在2022年11月13日最低？', '1', '2')
('成都的利润为何减少？', '1', '2')
('重庆的利润为何增长？', '1', '2')
('为什么西安的利润比北京少？', '1', '2')
('南京的利润为何增加？', '1', '2')
('杭州的利润为何下降？', '1', '2')
('武汉的利润在2022年11月13日为何最高？', '1', '2')
('北京的利润为何增加？', '1', '2')
('为什么上海的利润下降？', '1', '2')
('深圳的利润在2022年11月13日为何最低？', '1', '2')
('广州的利润为何增长？', '1', '2')
('天津的利润为何减少？', '1', '2')
('为什么成都的利润比南京高', '1', '2')
('重庆的利润为何下降？', '1', '2')
('西安的利润为何减少？', '1', '2')
('南京的利润增长了多少？', '1', '2')
('杭州的利润为何增加？', '1', '2')
('武汉的利润为何下降？', '1', '2')
('为什么北京的利润比上海高？', '1', '2')
('上海的利润为何增加？', '1', '2')
('深圳的利润为何增长如此快？', '1', '2')
('为什么广州的利润比西安高？', '1', '2')
('天津的利润在2022年11月13日为何最高？', '1', '2')
('成都的利润为何减少？', '1', '2')
('重庆的利润为何增加？', '1', '2')
('为什么西安的利润在2022年11月13日最低？', '1', '2')
('南京的利润为何增长？', '1', '2')
('杭州的利润为何下降如此快？', '1', '2')
('武汉的利润增长了多少？', '1', '2')
('北京的利润为何减少？', '1', '2')
('为什么上海的利润比广州低？', '1', '2')
('深圳的利润为何增加？', '1', '2')
('广州的利润在2022年11月13日为何最低？', '1', '2')
('天津的利润为何减少？', '1', '2')
('成都的利润为何比其他城市高？', '1', '2')
('重庆的利润为何减少？', '1', '2')
('西安的利润为何增长如此快？', '1', '2')
('南京的利润在2022年11月13日为何最高？', '1', '2')
('为什么杭州的利润比武汉低？', '1', '2')
('武汉的利润为何增加？', '1', '2')
('北京的利润在2022年11月13日为何最高？', '1', '2')
('为什么上海的利润增长？', '1', '2')
('深圳的利润为何减少？', '1', '2')
('广州的利润为何下降如此快？', '1', '2')
('天津的利润为何增长？', '1', '2')
('成都的利润为何在2022年11月13日最低？', '1', '2')
('重庆的利润为何增加？', '1', '2')
('为什么西安的利润比南京低？', '1', '2')
('南京的利润为何减少？', '1', '2')
('杭州的利润为何增加？', '1', '2')
Total lines: 400
Total correct: 166
Accuracy: 41.50%
Intention 问题模糊、歧义或者背景信息不足:
Lines: 100
Correct: 21
Accuracy: 21.00%

Intention 完全无关、有害或闲聊:
Lines: 100
Correct: 45
Accuracy: 45.00%

Intention 可以直接进行归因分析:
Lines: 100
Correct: 0
Accuracy: 0.00%

Intention 可以直接进行数据查询:
Lines: 100
Correct: 100
Accuracy: 100.00%

